Position on chart,Title,Billboard Artist,Track name,Spotify Artist,Album,Popularity ranking #,Spotify URL
37,"""One Thing at a Time""",Morgan Wallen,One Thing At A Time,Morgan Wallen,One Thing At A Time,72,https://open.spotify.com/track/1rXq0uoV4KTgRN64jXzIxo
38,"""Superhero (Heroes & Villains)""","Metro Boomin, Future and Chris Brown",Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,HEROES & VILLAINS,82,https://open.spotify.com/track/0vjeOZ3Ft5jvAi9SBFJm1j
39,"""Bad Habit""",Steve Lacy,Bad Habit,Steve Lacy,Gemini Rights,86,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
40,"""La Bebé""",Yng Lvcas and Peso Pluma,La Bebe - Remix,Yng Lvcas,La Bebe (Remix),81,https://open.spotify.com/track/2UW7JaomAMuX9pZrjVpHAU
41,"""Golden Hour""",Jvke,golden hour,JVKE,this is what ____ feels like (Vol. 1-4),80,https://open.spotify.com/track/5odlY52u43F5BjByhxg7wg
42,"""Religiously""",Bailey Zimmerman,Religiously,Bailey Zimmerman,Religiously. The Album.,80,https://open.spotify.com/track/0bILU0UiNDmA5Ff6whhb2R
43,"""Spin Bout U""",Drake and 21 Savage,Spin Bout U,Drake,Her Loss,78,https://open.spotify.com/track/2ZL7WZcjuYKi1KUDtp4kCC
44,"""Cupid""",Fifty Fifty,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,The Papercut Chronicles,80,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
45,"""Search & Rescue""",Drake,Search & Rescue,Drake,Search & Rescue,75,https://open.spotify.com/track/7aRCf5cLOFN1U7kvtChY1G
46,"""Barbie World""",Nicki Minaj and Ice Spice with Aqua,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],73,https://open.spotify.com/track/741UUVE2kuITl0c6zuqqbO
47,"""Next Thing You Know""",Jordan Davis,Next Thing You Know,Jordan Davis,Bluebird Days,77,https://open.spotify.com/track/39OclE5hZematADrdfaWvE
48,"""Escapism""",Raye featuring 070 Shake,Escapism.,RAYE,My 21st Century Blues,82,https://open.spotify.com/track/5mHdCZtVyb4DcJw8799hZp
49,"""Un x100to""",Grupo Frontera and Bad Bunny,un x100to,Grupo Frontera,El Comienzo,79,https://open.spotify.com/track/2yzshFeBIwH8tWIqHEFLeD
50,"""Until I Found You""",Stephen Sanchez,Until I Found You,Stephen Sanchez,Until I Found You,81,https://open.spotify.com/track/0T5iIrXA4p5GsubkhuBIKV
